Orgid;Orgnr;Förälder orgnr
OD-1-330;00;20000
OD-1-221;01;00
OD-1-222;013001;01
OD-197-1;013002;013001
OD-1-923;013006;013001
OD-23-1;013006A;013006
OD-1-925;013007;013001
OD-23-2;013007A;013007
OD-1-924;013008;013001
OD-23-3;013008A;013008
OD-1-224;013016;01
OD-97-1;013016A;013016
OD-98-1;013016B;013016
OD-99-1;013016C;013016
OD-100-1;013016D;013016
OD-1-225;013020;01
OD-1-187;013020A;013020
OD-101-1;013020P;013020
OD-102-1;013020Q;013020
OD-103-1;013020R;013020
OD-468-1;013020S;013020
OD-1-665;013050;01
OD-1-201;013050B;013050
OD-1-534;013130;01
OD-389-1;013131;013130
OD-390-1;013132;013130
OD-391-1;013133;013130
OD-1-728;013140;01
OD-1-729;013140A;013140
OD-1-730;013140B;013140
OD-481-1;013140C;013140
OD-481-2;013140D;013140
OD-481-3;013140E;013140
OD-481-4;013140F;013140
OD-481-5;013140G;013140
OD-481-6;013140H;013140
OD-481-7;013140I;013140
OD-481-8;013140J;013140
OD-481-9;013140K;013140
OD-481-10;013140L;013140
OD-148-1;013146;013140
OD-1-856;013150;01
OD-76-1;013157;013150
OD-77-1;013159;013150
OD-1-689;013860;01
OD-1-301;013909;01
OD-1-302;013950;01
OD-1-303;02;00
OD-1-304;022000;02
OD-1-305;022001;02
OD-1-127;022080;02
OD-1-742;022090;022430
OD-1-311;022420;02
OD-1-312;022430;02
OD-1-313;022440;02
OD-1-314;022470;02
OD-1-315;022480;02
OD-1-316;022490;02
OD-1-317;03;00
OD-1-79;035000;03
OD-1-129;035001;03
OD-1-182;035001E;035001
OD-237-1;035001F;035001
OD-1-184;035001I;035001
OD-1-185;035001P;035001
OD-1-183;035001S;035001
OD-1-186;035001U;035001
OD-1-132;035100;03
OD-1-598;035100A;035100
OD-1-656;035100B;035100
OD-1-466;035110;035100
OD-1-649;035110A;035110
OD-1-657;035110B;035110
OD-1-658;035110C;035110
OD-1-659;035110D;035110
OD-1-660;035110E;035110
OD-1-661;035110F;035110
OD-1-467;035120;035100
OD-1-588;035120A;035120
OD-1-589;035120B;035120
OD-1-590;035120C;035120
OD-1-599;035120D;035120
OD-1-595;035120E;035120
OD-1-468;035130;035100
OD-1-596;035130A;035130
OD-1-600;035130B;035130
OD-1-601;035130C;035130
OD-1-602;035130D;035130
OD-1-603;035130E;035130
OD-1-133;035200;03
OD-203-1;035201;035200
OD-203-2;035202;035200
OD-203-3;035203;035200
OD-203-4;035204;035200
OD-213-1;035205;035200
OD-248-1;035206;035200
OD-248-2;035208;035200
OD-1-134;035300;03
OD-1-278;035300A;035300
OD-1-279;035300B;035300
OD-1-280;035300C;035300
OD-1-254;035300F;035300
OD-168-1;035300J;035300
OD-1-135;035310;035300
OD-1-283;035310A;035310
OD-1-259;035310F;035310
OD-1-262;035310K;035310
OD-1-835;035310M;035310
OD-1-136;035320;035300
OD-1-264;035320A;035320
OD-1-499;035320B;035320
OD-1-501;035320D;035320
OD-1-927;035320E;035320
OD-1-866;035320F;035320
OD-1-867;035320H;035320
OD-1-868;035320I;035320
OD-1-869;035320J;035320
OD-1-137;035330;035300
OD-1-502;035330A;035330
OD-1-503;035330B;035330
OD-1-504;035330C;035330
OD-1-505;035330D;035330
OD-1-265;035330E;035330
OD-1-769;035330G;035330
OD-1-922;035330H;035330
OD-1-865;035330I;035330
OD-1-138;035340;035300
OD-1-266;035340A;035340
OD-1-506;035340B;035340
OD-1-140;035360;035300
OD-1-511;035360A;035360
OD-1-271;035360C;035360
OD-1-513;035360D;035360
OD-1-519;035360K;035360
OD-1-521;035360M;035360
OD-1-524;035360P;035360
OD-1-114;035360T;035360
OD-1-675;035360U;035360
OD-1-839;035360V;035360
OD-1-838;035360X;035360
OD-1-837;035360Y;035360
OD-1-772;035360Z;035360
OD-189-1;035381;035300
OD-189-2;035381A;035381
OD-189-3;035381B;035381
OD-1-142;035400;03
OD-1-478;035400A;035400
OD-1-479;035400B;035400
OD-1-917;035400C;035400
OD-1-900;035400D;035400
OD-1-901;035400E;035400
OD-1-918;035400F;035400
OD-1-144;035410;035400
OD-1-476;035410A;035410
OD-1-477;035410B;035410
OD-1-480;035410C;035410
OD-244-1;035410F;035410
OD-1-145;035420;035400
OD-1-483;035420A;035420
OD-1-484;035420B;035420
OD-1-146;035430;035400
OD-1-607;035430A;035430
OD-1-832;035430T;035430
OD-38-1;035430U;035430
OD-1-147;035440;035400
OD-1-555;035440B;035440
OD-1-559;035440C;035440
OD-1-560;035440D;035440
OD-1-561;035440E;035440
OD-1-562;035440F;035440
OD-1-563;035440G;035440
OD-1-612;035440H;035440
OD-1-614;035440J;035440
OD-1-668;035450;035400
OD-1-807;035450D;035450
OD-1-833;035450E;035450
OD-1-148;035500;03
OD-1-912;035500A;035500
OD-195-1;035501;035500
OD-317-1;035501A;035501
OD-317-2;035501B;035501
OD-1-149;035510;035500
OD-1-234;035510A;035510
OD-1-235;035510B;035510
OD-1-490;035510C;035510
OD-1-855;035510G;035510
OD-1-858;035510H;035510
OD-1-151;035530;035500
OD-1-236;035530A;035530
OD-1-237;035530B;035530
OD-1-238;035530C;035530
OD-1-494;035530D;035530
OD-1-239;035530E;035530
OD-1-495;035530F;035530
OD-1-682;035530G;035530
OD-1-713;035530H;035530
OD-1-743;035530I;035530
OD-1-733;035530J;035530
OD-1-734;035530K;035530
OD-1-732;035530L;035530
OD-1-721;035530M;035530
OD-1-724;035530N;035530
OD-1-152;035540;035500
OD-1-153;035550;035500
OD-1-240;035550A;035550
OD-1-496;035550B;035550
OD-1-497;035550C;035550
OD-1-498;035550D;035550
OD-1-840;035550E;035550
OD-1-154;035600;03
OD-1-811;035600A;035600
OD-1-155;035611;035600
OD-1-156;035612;035600
OD-1-618;035612A;035612
OD-1-644;035612B;035612
OD-1-157;035614;035600
OD-1-158;035615;035600
OD-1-159;035616;035600
OD-1-160;035617;035600
OD-1-161;035618;035600
OD-1-774;035619;035600
OD-1-162;035621;035600
OD-1-163;035622;035600
OD-1-164;035623;035600
OD-1-165;035624;035600
OD-1-166;035625;035600
OD-1-167;035626;035600
OD-52-1;035800;03
OD-1-170;035801;035800
OD-1-172;035803;035800
OD-1-73;04;00
OD-1-81;042720;04
OD-1-705;042725;04
OD-1-919;042726;04
OD-1-537;042910;04
OD-267-1;042910A;042910
OD-267-2;042910B;042910
OD-267-3;042910C;042910
OD-267-4;042910D;042910
OD-267-5;042910E;042910
OD-267-6;042910F;042910
OD-267-7;042910G;042910
OD-267-8;042910H;042910
OD-372-1;042910I;042910
