Organisationsid;Organisationsnummer;Organisationstyp;Giltighetstid;Kortnamn (sv);Kortnamn (en);Långnamn (sv);Långnamn (en);Webbadress
OD-1-1;20000;Huvudorganisation;1998-01-01 - ;GU;GU;Göteborgs universitet;University of Gothenburg;www.gu.se
OD-1-330;00;Rektor;1998-01-01 - ;Universitetsledningen;Vice Chancellor;Universitetsledningen;The Vice Chancellors Office;
OD-1-221;01;Fakultet;1998-01-01 - ;Naturvetenskap och teknik;Science and Technology;Fakulteten för naturvetenskap och teknik;Faculty of Science and Technology;www.gu.se/naturvetenskap-teknik
OD-1-222;013001;Institution;1998-01-01 - ;Inst för matematiska vetenskaper;Department of Mathematical Sciences;Institutionen för matematiska vetenskaper;Department of Mathematical Sciences;
OD-197-1;013002;Avdelning;2019-04-01 - ;Verksamhetsstödet f mat. vetenskaper;Support func. Mathematical Sciences;Verksamhetsstödet för matematiska vetenskaper;Support functions at the Department of Mathematical Sciences;
OD-1-923;013006;Avdelning;2016-07-01 - ;Avd för algebra och geometri;English Organisation Name Missing;Avdelningen för algebra och geometri;Algebra and Geometry;
OD-1-925;013007;Avdelning;2016-07-01 - ;Avd f analys och sannolikhetsteori;English Organisation Name Missing;Avdelningen för Analys och sannolikhetsteori;Analysis and Probability Theory;
OD-1-924;013008;Avdelning;2016-07-01 - ;Avd f tillämp matematik o statistik;English Organisation Name Missing;Avdelningen för tillämpad matematik och statistik;Applied Mathematics and Statistics;
OD-1-224;013016;Institution;1998-01-01 - ;Inst f kulturvård;Department of Conservation;Institutionen för kulturvård;Department of Conservation;www.conservation.gu.se
OD-1-225;013020;Institution;1998-01-01 - ;Inst f geovetenskaper;Department of Earth Sciences;Institutionen för geovetenskaper;Department of Earth Sciences;www.gvc.gu.se
OD-1-665;013050;Institution;1998-01-01 - ;Inst f fysik;Department of Physics;Institutionen för fysik;Department of Physics;
OD-1-534;013130;Institution;2012-01-01 - ;Ins f biologi o miljövetenskap;Dep of Biological & Environmental S;Institutionen för biologi och miljövetenskap;Department of Biological & Environmental Sciences;www.bioenv.gu.se
OD-389-1;013131;Avdelning;2022-02-01 - ;Inst f biol o miljövet - Zoologen;Dept of BioEnv - Zoologen;Inst f biol o miljövet - Zoologen;Dept of BioEnv - Zoologen;
OD-390-1;013132;Avdelning;2022-02-01 - ;Inst f biol o miljövet - Botan;Dept of BioEnv - Botan;Inst f biol o miljövet - Botan;Dept of BioEnv - Botan;
OD-391-1;013133;Avdelning;2022-02-01 - ;Inst f biol o miljövet - Kristineberg;Dept of BioEnv - Kristineberg;Inst f biol o miljövet - Kristineberg;Dept of BioEnv - Kristineberg;
OD-1-728;013140;Institution;2012-01-01 - ;Ins f kemi o molekylärbiologi;Dep of Chemistry & Molecular Biology;Institutionen för kemi och molekylärbiologi;Department of Chemistry & Molecular Biology;www.cmb.gu.se
